Date_2024,Duration,Bedtime,WakeTime
Dec 10,7h 5min,0:03,8:30
Dec 9,8h 19min,20:57,5:25
Dec 8,7h 17min,22:17,7:03
Dec 7,7h 14min,23:34,7:35
Dec 6,9h 15min,21:41,7:01
Dec 5,8h 14min,21:48,6:03
Dec 4,7h 46min,21:30,5:36
Dec 3,8h 53min,21:30,8:23
Dec 2,7h 29min,23:13,7:12
Dec 1,7h 52min,22:21,6:30
Nov 30,7h 49min,22:16,7:00
Nov 29,3h 56min,21:18,1:30
Nov 28,6h 23min,22:58,5:30
Nov 27,7h 56min,21:48,6:20
Nov 26,5h 50min,1:56,7:49
Nov 25,6h 30min,1:18,8:17
Nov 24,6h 28min,22:47,5:45
Nov 23,8h 17min,21:30,6:01
Nov 22,7h 57min,21:00,6:25
Nov 21,8h 33min,22:03,6:37
Nov 20,--,--,--
Nov 19,--,--,--
Nov 18,8h 46min,22:28,7:39
Nov 17,--,--,--
Nov 16,8h 12min,22:18,6:35
Nov 15,7h 16min,21:46,5:31
Nov 14,7h 54min,21:51,5:57
Nov 13,8h 37min,21:12,5:57
Nov 12,5h 50min,0:39,6:29
Nov 11,9h 23min,21:12,7:03
Nov 10,7h 50min,23:19,7:21
Nov 9,6h 4min,22:46,4:51
Nov 8,5h 55min,23:43,5:58
Nov 7,7h 14min,0:29,7:43
Nov 6,8h 32min,21:52,6:42
Nov 5,7h 50min,22:44,6:42
Nov 4,6h 34min,0:08,6:55
Nov 3,4h 26min,21:22,1:49
Nov 2,5h 48min,0:06,5:58
Nov 1,4h 52min,0:12,5:04
Oct 31,7h 9min,23:09,6:20
Oct 30,6h 27min,23:48,6:35
Oct 29,7h 23min,2:06,9:38
Oct 28,7h 17min,22:32,5:57
Oct 27,6h 42min,23:50,6:32
Oct 26,--,--,--
Oct 25,6h 43min,23:06,6:14
Oct 24,6h 58min,21:51,6:00
Oct 23,3h 40min,1:36,5:17
Oct 22,7h 3min,21:24,4:27
Oct 21,8h 51min,22:12,7:12
Oct 20,6h 47min,23:38,6:26
Oct 19,8h 9min,20:59,5:15
Oct 18,7h 22min,22:54,6:19
Oct 17,10h 1min,21:01,7:46
Oct 16,8h 36min,22:22,7:02
Oct 15,6h 18min,0:09,6:31
Oct 14,6h 50min,23:53,7:00
Oct 13,6h 47min,23:50,6:38
Oct 12,--,--,--
Oct 11,4h 50min,1:52,6:43
Oct 10,7h 58min,22:55,7:11
Oct 9,--,--,--
Oct 8,--,--,--
Oct 7,8h 48min,21:22,6:41
Oct 6,6h 10min,0:21,6:31
Oct 5,5h 43min,2:10,7:54
Oct 4,6h 28min,0:41,7:10
Oct 3,4h 50min,2:24,7:15
Oct 2,5h 12min,1:07,6:20
Oct 1,8h 33min,21:14,5:48
Sep 30,5h 5min,1:43,7:11
Sep 29,5h 46min,1:03,6:49
Sep 28,6h 51min,21:32,4:46
Sep 27,7h 58min,21:57,6:12
